username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
lisamsilvia;2016-11-06 18:30;0;3;"Very powerful video of all the horrible things Trump has said about women. Please vote #imwithher https:// twitter.com/hillaryclinton /status/795309964290097152 …";;;#imwithher;"795317347670073344";https://twitter.com/lisamsilvia/status/795317347670073344
amydejohnson;2016-11-06 18:27;0;1;"“SNL Trump-Clinton skip from last night, watch in full - http://www. nbc.com/saturday-night -live/video/hillary-clintondonald-trump-cold-open/3421101 … https:// twitter.com/i/moments/7952 87555126136833 …";;;;"795316689009184768";https://twitter.com/amydejohnson/status/795316689009184768
FlyandtheMighty;2016-11-06 18:25;0;0;"@ReverendDrDash I'm not sure the Trump campaign is a real thing.";;@ReverendDrDash;;"795316083330715648";https://twitter.com/FlyandtheMighty/status/795316083330715648
Tifferatti;2016-11-06 18:18;0;4;"My daughter on watching Alec Baldwin transforming from Trump back to himself: The man turned nice again!";;;;"795314329193041920";https://twitter.com/Tifferatti/status/795314329193041920
JRMiddleman;2016-11-06 18:17;0;0;"@Bencjacobs apparently the protester in Reno held a sign that said "Republicans against Trump"";;@Bencjacobs;;"795314289280061440";https://twitter.com/JRMiddleman/status/795314289280061440
n1bbl4r;2016-11-06 18:16;0;0;"@DomSigns @AdventurAwaits1 understood. Not sure what I'd do,so far nobody close to me admits being pro trump";;@DomSigns @AdventurAwaits1;;"795313848223866880";https://twitter.com/n1bbl4r/status/795313848223866880
Dividist;2016-11-06 18:16;0;1;"#MTP - @HardballChris nails it. @HillaryClinton will win, but #Democrats "didn't win the argument." Any other than Trump & it's #GOP sweep. https:// twitter.com/semil/status/7 95309565029945344 …";;@HardballChris @HillaryClinton;#MTP #Democrats #GOP;"795313813419479040";https://twitter.com/Dividist/status/795313813419479040
JohnSteen;2016-11-06 18:11;1;1;"Trump trolls are out in full force.";;;;"795312758820511744";https://twitter.com/JohnSteen/status/795312758820511744
stevesilberman;2016-11-06 18:04;6;14;"Somehow after months of being called rapists, drug dealers, and alien invaders, Hispanic voters are cool on Trump. https://www. washingtonpost.com/politics/trump s-candidacy-is-severely-damaging-gop-efforts-to-court-hispanic-voting-bloc/2016/11/06/992df6f6-a432-11e6-9bd6-184ab22d218e_story.html …";;;;"795310998152318976";https://twitter.com/stevesilberman/status/795310998152318976
JerushaSF;2016-11-06 18:02;0;1;"Donald Trump: The unauthorized database of false things http:// on.thestar.com/2ea5yb6 via @torontostar";;@torontostar;;"795310416133881857";https://twitter.com/JerushaSF/status/795310416133881857
philtalkradio;2016-11-06 18:01;0;2;"Past guest @jasonintrator on the uniqueness of Trump-brand #propaganda : http://www. nytimes.com/2016/11/05/opi nion/beyond-lying-donald-trumps-authoritarian-reality.html?_r=0 … . #Elections2016";;@jasonintrator;#propaganda #Elections2016;"795310219416870912";https://twitter.com/philtalkradio/status/795310219416870912
marshuck;2016-11-06 17:53;1;1;"."The Democrats didn't win the argument, they won the election" - @HardballChris on Trump's appeal to anger in Americans via @MeetThePress";;@HardballChris @MeetThePress;;"795308177512230912";https://twitter.com/marshuck/status/795308177512230912
SanFranciscoCP;2016-11-06 17:46;0;0;"Millennial women back Clinton over Trump 62-27% in new ABC/WaPo tracking poll; millennial men split evenly, 39-39%. http:// abcn.ws/2f5YBao";;;;"795306268621578240";https://twitter.com/SanFranciscoCP/status/795306268621578240
tolles;2016-11-06 17:35;0;0;"Nice analogy between Trump's candidacy & support of "stand your ground" laws. https:// twitter.com/theeconomist/s tatus/795283777744465921 …";;;;"795303695453802496";https://twitter.com/tolles/status/795303695453802496
Khanoisseur;2016-11-06 17:28;45;48;"in case you're wondering how Hitler seduced Germans here's a Trump supporter endorsing his eugenics @Moogiesmojo https:// twitter.com/moogiesmojo/st atus/795297798413582336 …";;@Moogiesmojo;;"795301949394386944";https://twitter.com/Khanoisseur/status/795301949394386944
KalAbehra;2016-11-06 17:25;0;1;"@WarrenHolstein I'm thinking of starting a comedian protection service if trump wins for the sake of comedy";;@WarrenHolstein;;"795301155945345024";https://twitter.com/KalAbehra/status/795301155945345024
yeniKUSH;2016-11-06 17:15;1;3;"The highlight of my day yesterday was slappin fuck Donald trump by @NipseyHussle @YG all thru the mission #Election2016";;@NipseyHussle @YG;#Election2016;"795298652268834816";https://twitter.com/yeniKUSH/status/795298652268834816
capleen;2016-11-06 17:15;0;0;"Where have all the naked Trump statues gone?";;;;"795298622803832833";https://twitter.com/capleen/status/795298622803832833
sfluvr007;2016-11-06 17:12;0;0;"@rudygiulianiGOP knew in advance of Comey's letter. Putin=Trump=Giuliani https:// twitter.com/portcitypisces /status/795293455480070144 …";;@rudygiulianiGOP;;"795297728347586560";https://twitter.com/sfluvr007/status/795297728347586560
FrankyTingALing;2016-11-06 17:12;0;0;"@Kdplayer13 trump is a racist that's why nazi like your ass love him, I know what the fuck I wrote If you cant understand it any my problem";;@Kdplayer13;;"795297704691671041";https://twitter.com/FrankyTingALing/status/795297704691671041
Khanoisseur;2016-11-06 17:11;48;48;". @ColoradoScout this list doesn't include $1 billion Trump owes foreign interests, $500 M he took from Saudi prince… https:// twitter.com/khanoisseur/st atus/774889503873916928 …";;@ColoradoScout;;"795297520054173696";https://twitter.com/Khanoisseur/status/795297520054173696
brianmwang;2016-11-06 17:08;0;6;"Seems that thoughtfulness and wisdom rank high on list of things you want in a president. Can anyone seriously argue this describes Trump?";;;;"795296915764060160";https://twitter.com/brianmwang/status/795296915764060160
capleen;2016-11-06 17:07;0;0;"#Trump bilking the little guy and avoiding taxes is more heroic https:// twitter.com/viciousbabushk a/status/795289726907547648 …";;;#Trump;"795296672452444160";https://twitter.com/capleen/status/795296672452444160
sfluvr007;2016-11-06 17:07;0;0;"I love it when a Trump supporter blocks you when presented with facts. It's like they're allergic. Oh damn, they are! https:// twitter.com/chicagodungeon /status/795206480286928896 …";;;;"795296526301921281";https://twitter.com/sfluvr007/status/795296526301921281
n1bbl4r;2016-11-06 17:07;0;1;"@DomSigns @AdventurAwaits1 is there a "pro trump troll" block list? https:// support.twitter.com/articles/20172 663 …";;@DomSigns @AdventurAwaits1;;"795296494257512448";https://twitter.com/n1bbl4r/status/795296494257512448
FrankyTingALing;2016-11-06 17:02;0;0;"When the did I say trump was under FBI investigation? Worry about educated yourself Go to the polls yourself. No one cares about your memes https:// twitter.com/kdplayer13/sta tus/795294322795155462 …";;;;"795295324575121408";https://twitter.com/FrankyTingALing/status/795295324575121408
FrankyTingALing;2016-11-06 16:52;0;0;"Key work under investigation, we all know that the fuck trump is, and that's why Nazis like you love him. New flash the nazis lost wwII https:// twitter.com/kdplayer13/sta tus/795123796688695296 …";;;;"795292783032442880";https://twitter.com/FrankyTingALing/status/795292783032442880
SpendingWell;2016-11-06 16:41;0;0;"@NateSilver538 @FiveThirtyEight Does this predict Trump to gain 1.8% by Tuesday? What does your model look like ignoring the trend line? pic.twitter.com/L77xgVmPKc";;@NateSilver538 @FiveThirtyEight;;"795290102142337024";https://twitter.com/SpendingWell/status/795290102142337024
clevergirl;2016-11-06 16:39;0;1;"Rachel Bloom leads a profane anti-Trump anthem in the style of “We Are the World”: http://www. slate.com/blogs/browbeat /2016/11/04/rachel_bloom_elizabeth_banks_and_more_sing_anti_trump_song_video.html?wpsrc=sh_all_mob_tw_top … via @BrowBeat";;@BrowBeat;;"795289415354417152";https://twitter.com/clevergirl/status/795289415354417152
Imtheladybug;2016-11-06 16:32;0;0;"Trump: (to African Americans) What do you have to lose? African Americans: wtf? #kellyannesaysWow";;;#kellyannesaysWow;"795287751893524481";https://twitter.com/Imtheladybug/status/795287751893524481
sinatrasratpack;2016-11-06 16:31;0;0;"The more you learn about Hillary and Trump the more disgusted you become. This is really the best we can do America? Vote #GaryJohnson";;;#GaryJohnson;"795287524725821440";https://twitter.com/sinatrasratpack/status/795287524725821440
Imtheladybug;2016-11-06 16:30;0;0;"Trump: no one respects women more than me. Women: wtf? #kellyannesaysWow";;;#kellyannesaysWow;"795287161410981889";https://twitter.com/Imtheladybug/status/795287161410981889
AshleyWaxman;2016-11-06 16:16;0;1;"i work w/amazing women: "if trump wins we can't move- we have to stay here and do the work" @jenchirps";;@jenchirps;;"795283709599444993";https://twitter.com/AshleyWaxman/status/795283709599444993
Tifferatti;2016-11-06 16:12;0;6;"The most painful part of this election is realizing my relationships w/Trump-supporting friends are probably over for good.";;;;"795282614714146816";https://twitter.com/Tifferatti/status/795282614714146816
simonw;2016-11-06 16:06;2;1;"Have you been wondering why the LATimes poll consistently leans Trump in comparison to most other polls? This is why http:// mobile.nytimes.com/2016/10/13/ups hot/how-one-19-year-old-illinois-man-is-distorting-national-polling-averages.html?_r=0 …";;;;"795281101488996352";https://twitter.com/simonw/status/795281101488996352
JamHam95;2016-11-06 15:05;0;1;"@toosmart2Bleft @Madonna @drudgereportapp And it's garbage anyway: only the lefty, liberal half of the world is sneering at Trump.";;@toosmart2Bleft @Madonna @drudgereportapp;;"795265754748874752";https://twitter.com/JamHam95/status/795265754748874752
comaraster;2016-11-06 13:50;0;0;"Own goal by Eric Trump #COYG";;;#COYG;"795246906498650112";https://twitter.com/comaraster/status/795246906498650112
kurtastic;2016-11-06 12:28;0;0;"@DonCheadle @natemauratt @bkparallax there never was a non-partisan media. But Trump is cancer either way";;@DonCheadle @natemauratt @bkparallax;;"795226273387712512";https://twitter.com/kurtastic/status/795226273387712512
dramaria;2016-11-06 12:28;0;0;"#Brilliant @POTUS ! Maybe MR.Trump should watch this video. I will remember this for the years to come. Thanks Mr. President! https:// twitter.com/kylegriffin1/s tatus/794631777746829312 …";;@POTUS;#Brilliant;"795226254706233344";https://twitter.com/dramaria/status/795226254706233344
